time,num_people,distance_dist
1601335115.1308954,6,"[0.005465832524239799, 0.0014217687949947743, 0.0014217687949947743, 0.014758763760480907, 0.03625553104761415, 0.014758763760480907]"
1601335123.5014062,6,"[0.005870613529720666, 0.005870613529720666, 0.03689884506835704, 0.032326186132638206, 0.025964519031052416, 0.029224926474179472]"
1601335126.8067873,3,"[0.005449356095973956, 0.007791556348128422, 0.005449356095973956]"
1601335129.8392782,3,"[0.005449356095973956, 0.007791556348128422, 0.005449356095973956]"
1601335133.1189563,4,"[0.005600449498132428, 0.007802932754428333, 0.08174956120136775, 0.005600449498132428]"
